__year,Country Unknown,Latin America,Rest of World
1917.0,2,0,0
1922.0,2,0,0
1943.0,4,0,0
1952.0,0,0,2
1963.0,0,0,2
1965.0,0,0,2
1969.0,6,0,8
1973.0,0,0,2
1974.0,0,0,8
1977.0,0,0,2
1980.0,0,0,2
1981.0,0,0,2
1982.0,2,0,0
1983.0,0,2,2
1985.0,0,2,0
1986.0,0,4,6
1987.0,0,0,4
1988.0,0,0,4
1989.0,0,2,6
1990.0,0,0,4
1991.0,0,0,28
1992.0,0,0,2
1993.0,0,0,2
1994.0,0,0,8
1995.0,0,0,104
1996.0,0,0,88
1997.0,0,0,34
1998.0,0,4,4
1999.0,0,0,6
2000.0,0,0,10
2001.0,0,0,8
2002.0,0,2,10
2003.0,0,4,224
2004.0,0,2,192
2005.0,0,0,64
2006.0,6,0,52
2007.0,2,0,64
2008.0,0,0,76
2009.0,66,0,536
2010.0,218,0,168
2011.0,6,0,240
2012.0,0,0,80
2013.0,0,0,36
2014.0,0,0,4
2015.0,2,0,0
2016.0,4,0,22
2017.0,0,0,4
2018.0,22,0,60
2019.0,10,0,42
